2017-12-21 23:38:51.0016|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2018.1 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 402: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Jun 03 00:00:00 CEST 2018, beginnUhrzeit=10:00, endeDatum=Sun Jun 03 00:00:00 CEST 2018, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-12-21 23:38:51.0016|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2018.1 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 452: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Jun 17 00:00:00 CEST 2018, beginnUhrzeit=10:00, endeDatum=Sun Jun 17 00:00:00 CEST 2018, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-12-21 23:38:51.0017|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2018.1 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 539: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Jul 15 00:00:00 CEST 2018, beginnUhrzeit=10:00, endeDatum=Sun Jul 15 00:00:00 CEST 2018, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtgarten, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-12-21 23:38:51.0017|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2018.1 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 551: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Jul 22 00:00:00 CEST 2018, beginnUhrzeit=10:00, endeDatum=Sun Jul 22 00:00:00 CEST 2018, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-12-21 23:38:51.0017|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2018.1 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 556: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Jul 29 00:00:00 CEST 2018, beginnUhrzeit=10:00, endeDatum=Sun Jul 29 00:00:00 CEST 2018, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-12-21 23:38:51.0018|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2018.1 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 557: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Aug 05 00:00:00 CEST 2018, beginnUhrzeit=10:00, endeDatum=Sun Aug 05 00:00:00 CEST 2018, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-12-21 23:38:51.0018|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2018.1 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 558: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Aug 12 00:00:00 CEST 2018, beginnUhrzeit=10:00, endeDatum=Sun Aug 12 00:00:00 CEST 2018, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-12-21 23:38:51.0018|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2018.1 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 559: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Aug 19 00:00:00 CEST 2018, beginnUhrzeit=10:00, endeDatum=Sun Aug 19 00:00:00 CEST 2018, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-12-21 23:38:51.0019|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2018.1 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 560: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Aug 26 00:00:00 CEST 2018, beginnUhrzeit=10:00, endeDatum=Sun Aug 26 00:00:00 CEST 2018, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-12-21 23:38:51.0019|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2018.1 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 561: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Sep 02 00:00:00 CEST 2018, beginnUhrzeit=10:00, endeDatum=Sun Sep 02 00:00:00 CEST 2018, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
2017-12-21 23:38:51.0019|INFO   |Thread-4                      |ui.MainStage                                 : 416|svenina|2018.1 Gesamtprobenplan.xlsx|PRUEFEN in Zeile 562: ensembles muss zwischen 1 und 2147483647 liegen => CalendarEvent{wochentag=So., beginnDatum=Sun Sep 09 00:00:00 CEST 2018, beginnUhrzeit=10:00, endeDatum=Sun Sep 09 00:00:00 CEST 2018, endeUhrzeit=11:15, beschreibung=Gottesdienst, ort=Stadtkirche, art=Gottesdienst, organistationsUebersicht=null, ensembles=[], dynamicCols={}}
